56,above,above
56,home,home
56,peculiar,normal
56,find,find
56,harpooneers,Lazer-gunners
56,gutenberg-tm,Shub-niggurath
55,call,hail
55,entire,entire
55,goes,goes
55,short,short
54,curious,curious
54,jaw,beak
54,run,boost
54,blood,ichor
54,tashtego,Lazerbot-9
53,bottom,bottom
53,comes,comes
53,less,less
53,close,close
53,began,began
53,coming,coming
53,taking,taking
53,cook,cook
52,grand,grand
52,slowly,slowly
52,broad,broad
52,turning,turning
52,mark,mark
52,below,below
51,rest,rest
51,indian,martian
51,taken,taken
51,used,used
51,particular,particular
51,ivory,neutronium
51,man's,woman's
50,stern,stern
50,thousand,billion
50,what's,what's
50,green,chrome
50,sharks,mutalisks
50,speak,speak
50,hundred,hundred
50,savage,robot
50,behind,behind
50,forward,forward
50,nevertheless,nevertheless
50,craft,craft
50,suddenly,suddenly
50,english,amazonese
49,cut,cut
49,besides,besides
49,form,form
49,took,took
49,pequod's,Thruster Alpha's
48,waves,asteroids
48,voice,voice
48,lost,lost
48,sailors,spacers
48,common,common
48,watch,watch
48,pull,pull
48,several,several
48,bows,bows
48,ten,ten
48,view,view
47,mighty,mighty
47,coffin,deathpod
47,kept,kept
47,means,means
47,struck,struck
47,use,use
46,told,told
46,whatever,whatever
46,vessel,vessel
46,else,else
46,teeth,teeth
46,touching,touching
46,fast,fast
46,broken,broken
46,spout,discharge
46,got,got
46,says,says
46,sure,sure
46,story,story
45,sat,sat
45,anything,anything
45,fact,fact
45,caught,caught
45,mine,mine
45,especially,especially
45,bones,endoskeleton
45,sleep,sleep
45,wide,wide
45,king,queen
45,whom,whom
44,heads,heads
44,devil,void
44,straight,straight
44,chance,chance
44,noble,noble
44,somehow,somehow
44,running,running
44,works,works
44,queer,delightful
43,nigh,nigh
43,rolled,rolled
43,people,people
43,knew,knew
43,heaven,heaven
43,rope,beam
43,room,room
43,making,making
43,sudden,sudden
43,blue,neon
43,earth,galaxy
42,seamen,spacewomen
42,alone,alone
42,course,course
42,stranger,stranger
42,door,hatch
42,mere,mere
42,concerning,concerning
42,carpenter,engineer
42,wondrous,frightening
42,surface,Phase-lock
42,purpose,purpose
42,passed,passed
41,quite,quite
41,hours,kiloseconds
41,help,help
41,clear,clear
41,parts,parts
41,calm,calm
41,felt,felt
41,either,either
41,sound,sound
41,sharp,sharp
41,art,art
41,lance,lazer
40,saying,saying
40,nature,nature
40,brow,helmet
40,makes,makes
40,'em,'em
40,ground,ground
40,wake,wake
40,mortal,incarnate
40,plain,plain
40,quick,quick
39,object,object
39,mass,mass
39,mean,mean
39,distance,distance
39,bow,bow
39,monster,monster
39,hour,kilosecond
39,mates,Spear-carrier
39,various,various
39,oars,thrusters
39,plainly,plainly
38,sailed,thrusted
38,brought,brought
38,hat,helmet
38,around,around
38,power,power
38,creature,creature
38,cry,ejaculate
38,five,five
38,easy,easy
38,darted,darted
38,ready,ready
38,fellow,fellow
38,single,single
38,others,others
38,boat's,shuttle's
38,fixed,fixed
38,gave,gave
38,mast-head,Long-range scanner
38,leaving,leaving
37,placed,placed
37,manner,manner
37,holding,holding
37,gentlemen,amazons
37,start,start
37,held,held
37,famous,famous
37,forecastle,deflector dish
37,bone,endoskeleton shard
37,coast,gravity well
37,suppose,suppose
37,human,terran
37,steelkilt,steelskirt
37,aspect,aspect
37,bulwarks,deflectors
37,flukes,flukes
37,daggoo,Optimus Kink
37,given,given
36,legs,legs
36,previous,previous
36,natural,unnatural
36,whaleman,'podwoman
36,sails,thrusters
36,ago,ago
36,truth,truth
36,cape,nebula
36,bear,bear
36,low,low
36,seeing,seeing
36,greenland,betelgeuse
36,fell,fell
36,nearly,nearly
36,middle,middle
36,unknown,unknown
35,ha,ha
35,gold,Platinum-iridium
